FID	SHAPE	TBBH	DLMC	TBMJ	Shape_Leng	Shape_Area
36	POLYGON ((11136031.5576 2711290.0796,11136039.027 2711286.202,11136039.6433 2711278.6032,11136029.3712 2711229.4414,11136028.5502 2711213.3107,11136035.2568 2711195.4199,11136046.9676 2711175.135,11136074.6974 2711143.4675,11136125.0271 2711106.1967,11136152.0675 2711091.9437,11136175.7237 2711056.848,11136185.4831 2711053.9728,11136201.0434 2711052.3762,11136224.517 2711043.7246,11136249.2363 2711034.4526,11136289.5853 2711008.773,11136323.6323 2711000.5874,11136361.3777 2710999.7204,11136398.096 2710996.9708,11136425.6753 2710997.0993,11136438.3151 2710999.4527,11136445.3417 2711004.4923,11136443.6229 2711017.6271,11136435.8958 2711029.2731,11136431.0251 2711037.3041,11136429.8719 2711045.7415,11136437.1592 2711062.4546,11136466.1583 2711072.4463,11136515.7259 2711074.3272,11136544.7297 2711080.9951,11136573.3098 2711087.8438,11136577.1361 2711086.5353,11136617.0552 2711084.2992,11136622.3689 2711073.0192,11136627.9849 2711064.1537,11136634.4678 2711058.9857,11136637.3394 2711055.5108,11136639.0561 2711051.3636,11136639.8833 2711049.3669,11136641.8672 2711046.7086,11136644.8781 2711026.319,11136657.5549 2711005.8054,11136677.6268 2711007.9677,11136691.8836 2711010.7644,11136703.801 2711041.8217,11136712.4665 2711041.8619,11136725.4716 2711043.7925,11136737.4831 2711023.543,11136742.7396 2710999.2545,11136735.3312 2711000.2888,11136727.6173 2710988.4973,11136724.5587 2710974.8572,11136721.5661 2710947.0572,11136748.6981 2710952.5266,11136750.4576 2710945.0539,11136752.0215 2710938.556,11136744.9373 2710940.264,11136741.4744 2710933.6905,11136736.1949 2710916.0004,11136741.2531 2710901.3336,11136740.7711 2710885.5254,11136742.1929 2710883.5838,11136691.88 2710869.6485,11136689.8928 2710869.0985,11136660.2092 2710832.155,11136656.1252 2710816.2595,11136635.1863 2710852.3438,11136612.8139 2710851.7055,11136605.5202 2710849.5342,11136600.5795 2710797.6798,11136603.1933 2710777.9213,11136605.3894 2710755.2219,11136588.9438 2710728.9627,11136571.2677 2710739.3002,11136530.9884 2710676.3277,11136510.0322 2710605.9646,11136464.6733 2710600.9445,11136449.795 2710594.9975,11136447.9352 2710667.3917,11136421.6711 2710689.9788,11136375.6846 2710713.0084,11136373.569 2710675.0604,11136395.9352 2710669.8212,11136405.6729 2710667.462,11136414.3241 2710656.014,11136407.8389 2710637.0148,11136384.6098 2710627.5556,11136380.9315 2710633.4162,11136363.9657 2710641.085,11136362.535 2710627.1856,11136350.4531 2710583.5807,11136315.8708 2710559.6414,11136248.9594 2710563.604,11136253.2027 2710514.4648,11136218.0524 2710520.1785,11136211.3903 2710469.346,11136201.1288 2710466.6766,11136184.3035 2710462.0979,11136174.7395 2710459.311,11136168.4651 2710455.6953,11136159.9159 2710443.853,11136149.0653 2710450.3051,11136142.2659 2710454.0789,11136135.4252 2710459.0023,11136126.5438 2710465.4957,11136114.9944 2710469.8222,11136103.0599 2710472.4242,11136090.4195 2710473.5139,11136073.9675 2710472.7552,11136063.2977 2710472.2383,11136053.1927 2710472.9444,11136036.4672 2710477.3546,11136024.002 2710479.1643,11136017.1119 2710479.3468,11136003.9524 2710484.4918,11135992.2268 2710488.531,11135977.0807 2710490.9373,11135971.0803 2710491.2501,11135960.6573 2710491.7944,11135943.2001 2710492.4661,11135933.9127 2710493.9668,11135925.9745 2710497.0533,11135915.5506 2710504.9041,11135908.0569 2710512.2663,11135903.6723 2710518.5295,11135899.9545 2710527.6322,11135897.3896 2710534.1551,11135894.145 2710541.0702,11135886.8199 2710550.5513,11135877.5867 2710563.2552,11135875.5995 2710568.4524,11135872.6108 2710581.8321,11135870.1077 2710590.5814,11135867.9139 2710594.055,11135861.6472 2710598.4061,11135851.4528 2710603.0263,11135826.0083 2710609.5498,11135812.5707 2710613.006,11135795.3754 2710618.8137,11135783.9367 2710622.3508,11135771.8247 2710624.6995,11135762.3581 2710626.3425,11135756.4697 2710629.0528,11135755.5616 2710629.4707,11135733.456 2710642.8558,11135726.9617 2710646.7879,11135724.844 2710648.2613,11135733.3978 2710654.2487,11135744.0352 2710663.3728,11135745.1442 2710670.2613,11135745.4579 2710677.0681,11135745.0793 2710682.8671,11135744.2388 2710707.8703,11135739.6926 2710722.383,11135734.8409 2710731.3115,11135720.3435 2710748.4108,11135714.9708 2710752.6058,11135713.2425 2710753.956,11135707.6708 2710762.5936,11135707.4812 2710762.9251,11135704.0961 2710765.3094,11135698.7434 2710766.8104,11135695.8421 2710769.3402,11135695.0263 2710773.9146,11135694.8298 2710785.105,11135694.753 2710789.5354,11135694.9288 2710794.916,11135693.0364 2710797.9592,11135691.2973 2710799.1138,11135689.5646 2710798.8877,11135682.9481 2710792.5342,11135678.7724 2710789.4624,11135674.1475 2710789.8041,11135669.1496 2710792.6874,11135667.9725 2710797.2601,11135668.5184 2710804.1664,11135668.497 2710804.1952,11135664.0959 2710810.3269,11135657.995 2710817.3772,11135652.969 2710823.5605,11135648.6549 2710829.7183,11135647.3702 2710831.3912,11135641.0713 2710834.4138,11135635.9262 2710837.8778,11135635.1127 2710841.9435,11135635.885 2710846.7434,11135640.4077 2710852.869,11135642.138 2710855.6686,11135640.4675 2710865.1336,11135637.8946 2710868.786,11135637.0709 2710869.7814,11135633.3924 2710872.6613,11135627.8108 2710874.4882,11135622.8926 2710874.3742,11135612.974 2710868.7683,11135597.5504 2710860.4038,11135585.8637 2710850.0637,11135581.4786 2710838.1134,11135577.6344 2710836.659,11135573.3506 2710838.5582,11135572.4139 2710840.7766,11135571.2782 2710845.5996,11135568.4564 2710854.0963,11135568.1593 2710854.7094,11135557.8677 2710861.9281,11135555.101 2710866.566,11135554.3428 2710874.2655,11135553.8884 2710878.769,11135548.0857 2710883.8287,11135540.4196 2710885.682,11135530.5918 2710886.3625,11135527.2436 2710886.0796,11135521.2533 2710886.9095,11135516.1209 2710889.6885,11135514.04 2710891.2433,11135512.8182 2710896.5148,11135512.1191 2710919.8314,11135513.172 2710935.1154,11135512.654 2710953.2808,11135510.7528 2710958.2135,11135506.5413 2710962.8446,11135501.4671 2710966.5996,11135496.5548 2710966.5765,11135495.8207 2710966.3625,11135490.5565 2710966.1667,11135488.1558 2710966.8073,11135484.6652 2710969.4904,11135481.4054 2710974.841,11135470.6322 2710990.5685,11135462.3982 2711003.9568,11135459.8456 2711017.8164,11135462.2758 2711030.2408,11135472.3565 2711047.6023,11135474.5071 2711053.4539,11135475.4848 2711066.1835,11135477.4184 2711073.9119,11135482.8945 2711078.1099,11135514.0992 2711101.4123,11135539.5265 2711118.6377,11135565.9997 2711133.6782,11135597.7245 2711145.7071,11135601.6025 2711147.9269,11135604.3364 2711149.2061,11135617.4715 2711158.1125,11135618.5784 2711158.5869,11135622.5516 2711163.8722,11135623.0026 2711169.237,11135620.5051 2711174.0131,11135605.5944 2711187.3488,11135593.8958 2711205.5826,11135585.7426 2711218.9501,11135577.7216 2711224.4665,11135568.0989 2711226.2412,11135522.6062 2711223.6941,11135523.0922 2711225.6372,11135527.1961 2711242.5496,11135527.71 2711244.6638,11135566.4622 2711241.6775,11135594.0329 2711239.6174,11135593.8797 2711237.6267,11135593.0442 2711226.7422,11135594.1131 2711219.8627,11135597.7537 2711217.3769,11135615.6141 2711211.9324,11135620.506 2711207.8869,11135624.1839 2711197.3699,11135631.5769 2711190.52,11135640.9303 2711185.8702,11135650.7852 2711184.8735,11135662.6098 2711184.0944,11135669.4461 2711185.4827,11135681.2169 2711196.2818,11135688.8442 2711206.0183,11135698.6366 2711218.4763,11135707.3392 2711234.115,11135708.2021 2711235.6644,11135724.1846 2711237.4633,11135741.5883 2711240.92,11135791.0063 2711253.1461,11135864.1248 2711274.7736,11135866.0504 2711272.8034,11135867.4018 2711271.4214,11135871.5662 2711267.7903,11135872.9416 2711264.877,11135875.6452 2711249.0866,11135877.16 2711246.5908,11135921.983 2711231.8154,11135932.2638 2711228.324,11135948.6993 2711222.241,11135960.6346 2711220.0334,11135965.497 2711223.2687,11135966.6867 2711227.8858,11135965.9498 2711231.4881,11135963.2863 2711234.7181,11135954.2869 2711238.4047,11135942.9031 2711240.7976,11135932.8926 2711247.6247,11135928.2944 2711260.0878,11135926.6373 2711267.3804,11135921.9534 2711270.7944,11135914.8384 2711272.9134,11135899.5053 2711276.3192,11135894.9351 2711277.6753,11135889.8283 2711279.7364,11135885.4005 2711281.525,11135927.5963 2711295.4408,11135938.2759 2711301.7385,11135941.5932 2711304.8127,11135945.5263 2711308.4562,11135945.8705 2711308.0015,11135949.6971 2711302.9698,11135954.9827 2711296.0201,11135958.085 2711293.7016,11135960.6959 2711292.1813,11135965.9916 2711291.0818,11135970.7195 2711290.7802,11135978.6262 2711291.5845,11135983.0122 2711292.3874,11135985.0163 2711293.91,11135987.4331 2711298.9732,11135991.4432 2711297.9104,11135995.4553 2711294.3362,11136002.2685 2711286.5024,11136008.02 2711282.6263,11136014.7596 2711279.2049,11136022.2763 2711279.1353,11136028.5349 2711282.0854,11136031.2646 2711286.1144,11136031.5576 2711290.0796),(11135852.3256 2711101.3322,11135853.6597 2711104.364,11135854.7238 2711120.9531,11135852.4125 2711127.5137,11135845.5573 2711129.9845,11135841.6917 2711136.3294,11135842.2875 2711141.8606,11135846.1122 2711144.5898,11135851.5926 2711147.6411,11135851.5718 2711152.1252,11135847.0939 2711156.4859,11135841.0543 2711161.985,11135831.2028 2711162.2519,11135827.0593 2711161.3978,11135825.9353 2711157.7418,11135829.0879 2711148.6822,11135829.6203 2711145.6603,11135826.8389 2711141.7881,11135814.2965 2711140.8946,11135811.2954 2711139.7328,11135807.162 2711136.6889,11135805.0099 2711131.1504,11135804.4126 2711125.9324,11135801.7381 2711121.2261,11135799.7864 2711117.3578,11135797.4092 2711115.6773,11135789.9456 2711115.3292,11135785.9061 2711114.2672,11135785.6099 2711111.2414,11135785.9457 2711105.7145,11135793.0579 2711092.5013,11135801.0438 2711092.0173,11135812.8442 2711096.4533,11135819.6664 2711100.8659,11135823.5022 2711101.197,11135830.1438 2711099.872,11135836.9928 2711098.7574,11135852.3256 2711101.3322),(11135695.3898 2711091.5212,11135690.6625 2711104.7456,11135687.9551 2711107.1321,11135675.0793 2711111.2438,11135659.9409 2711111.1727,11135633.3107 2711107.5016,11135627.611 2711106.8485,11135624.8267 2711103.6015,11135624.333 2711098.2803,11135624.8858 2711090.8768,11135628.736 2711087.8704,11135639.7294 2711087.4006,11135652.6967 2711086.0006,11135658.3965 2711086.6537,11135688.0743 2711081.4731,11135693.2585 2711081.4975,11135695.4208 2711084.8463,11135695.3898 2711091.5212),(11136186.1025 2710479.9541,11136180.0346 2710492.348,11136183.4657 2710533.3753,11136153.3518 2710555.6768,11136130.674 2710534.9989,11136159.2491 2710493.7214,11136169.2017 2710480.6767,11136182.3284 2710477.7992,11136186.1025 2710479.9541))	180	林地	4858.43	5442.2438139	588891.973416
37	POLYGON ((11137479.1549 2711299.1073,11137480.1543 2711298.6929,11137498.5268 2711289.4198,11137513.5835 2711283.6603,11137531.8422 2711280.224,11137556.1133 2711279.2968,11137591.9326 2711279.7233,11137591.9825 2711279.7236,11137595.5806 2711279.7668,11137611.0705 2711280.3756,11137616.6489 2711280.165,11137614.0359 2711223.0014,11137601.8429 2711224.8989,11137592.6105 2711217.9601,11137590.6387 2711203.2274,11137594.2423 2711184.9786,11137602.1028 2711167.6803,11137607.87 2711147.8747,11137598.0767 2711109.8276,11137597.3421 2711108.7854,11137593.3582 2711106.9097,11137580.0548 2711108.4035,11137572.8546 2711112.5084,11137572.4871 2711112.7183,11137571.6048 2711116.5798,11137573.4631 2711120.2679,11137566.1709 2711132.221,11137565.0938 2711136.8478,11137565.2569 2711146.0854,11137565.3737 2711152.6553,11137557.734 2711167.8781,11137547.3889 2711165.9646,11137527.6397 2711153.7503,11137517.3023 2711142.648,11137515.201 2711140.2851,11137513.5617 2711138.4415,11137504.7532 2711136.6451,11137498.9463 2711148.3218,11137499.2472 2711151.3166,11137499.1884 2711151.637,11137497.6702 2711159.8227,11137492.6323 2711161.253,11137485.7977 2711163.1922,11137482.7384 2711164.0609,11137474.4052 2711161.713,11137466.4222 2711159.4651,11137453.7241 2711156.7894,11137452.2184 2711168.5393,11137447.7842 2711186.2649,11137447.9861 2711217.547,11137441.6179 2711247.4897,11137438.2874 2711257.9862,11137433.5438 2711272.9414,11137430.0545 2711307.1317,11137429.6008 2711311.5776,11137429.4451 2711313.1073,11137429.3517 2711314.0227,11137429.2027 2711315.4776,11137434.6447 2711314.9032,11137451.2073 2711310.6928,11137461.3924 2711306.4712,11137479.1549 2711299.1073))	669	园地	8557.64	770.129924587	23185.7824703
38	POLYGON ((11136624.2475 2711300.9953,11136629.5489 2711294.7188,11136632.1531 2711291.6359,11136637.2501 2711285.6812,11136637.311 2711285.6099,11136643.9376 2711267.6692,11136644.5448 2711251.123,11136643.2523 2711224.4259,11136641.883 2711214.4549,11136633.4189 2711208.7215,11136607.613 2711204.5094,11136588.5082 2711204.7765,11136561.1129 2711216.0981,11136561.3888 2711219.1741,11136561.7709 2711224.7845,11136560.6648 2711228.7464,11136558.1177 2711235.5743,11136556.2411 2711244.4572,11136556.0618 2711253.8953,11136553.0891 2711264.5515,11136547.4598 2711276.2897,11136542.541 2711296.1705,11136541.598 2711309.0249,11136540.6676 2711311.966,11136549.262 2711314.5559,11136551.7539 2711313.7328,11136557.4806 2711308.5442,11136579.0633 2711306.116,11136581.3422 2711305.6307,11136591.1492 2711296.107,11136594.0452 2711294.9737,11136597.072 2711294.2525,11136606.0714 2711298.1781,11136616.1678 2711301.9901,11136619.6663 2711303.1211,11136622.5512 2711303.003,11136624.2475 2711300.9953))	154	园地	5244.53	370.017101992	8375.07861882
39	POLYGON ((11137426.4956 2711315.7634,11137429.2027 2711315.4776,11137429.3517 2711314.0227,11137429.4451 2711313.1073,11137429.6008 2711311.5776,11137430.0545 2711307.1317,11137433.5438 2711272.9414,11137438.2874 2711257.9862,11137441.6179 2711247.4897,11137447.9861 2711217.547,11137447.7842 2711186.2649,11137452.2184 2711168.5393,11137453.7241 2711156.7894,11137466.4222 2711159.4651,11137474.4052 2711161.713,11137482.7384 2711164.0609,11137485.7977 2711163.1922,11137492.6323 2711161.253,11137497.6702 2711159.8227,11137499.1884 2711151.637,11137499.2472 2711151.3166,11137498.9463 2711148.3218,11137504.7532 2711136.6451,11137513.5617 2711138.4415,11137515.201 2711140.2851,11137517.3023 2711142.648,11137527.6397 2711153.7503,11137547.3889 2711165.9646,11137557.734 2711167.8781,11137565.3737 2711152.6553,11137565.2569 2711146.0854,11137565.0938 2711136.8478,11137566.1709 2711132.221,11137573.4631 2711120.2679,11137571.6048 2711116.5798,11137572.4871 2711112.7183,11137572.8546 2711112.5084,11137563.2774 2711094.9536,11137557.2249 2711097.3304,11137555.3159 2711101.0621,11137552.6893 2711101.8515,11137549.138 2711101.568,11137546.0521 2711101.2867,11137544.6461 2711096.471,11137540.572 2711094.5821,11137534.8852 2711089.2124,11137532.1 2711088.6652,11137521.8787 2711095.0304,11137516.4319 2711102.7535,11137513.8577 2711106.7493,11137511.5806 2711103.7999,11137511.0349 2711099.5225,11137496.9684 2711090.1066,11137483.5112 2711092.7165,11137478.1667 2711099.9056,11137466.0789 2711093.1706,11137457.9881 2711083.7822,11137448.4817 2711071.7155,11137436.6339 2711070.8594,11137420.394 2711064.9067,11137419.0552 2711059.8242,11137411.9964 2711057.12,11137403.7473 2711053.3415,11137395.4156 2711067.7306,11137384.1928 2711067.9461,11137365.4446 2711065.9895,11137349.7506 2711064.0469,11137348.173 2711067.7801,11137348.524 2711070.7206,11137332.2319 2711083.47,11137326.6046 2711087.1845,11137318.3974 2711083.0835,11137268.5776 2711081.0198,11137209.1056 2711049.2837,11137194.6215 2711041.5553,11137152.798 2711058.1611,11137133.7439 2711065.726,11137104.5009 2711082.0959,11137089.8535 2711113.8339,11137103.997 2711132.1592,11137117.2575 2711146.584,11137123.3285 2711157.1452,11137123.6562 2711164.4823,11137143.1049 2711173.8176,11137147.4783 2711176.4711,11137149.9778 2711180.0051,11137150.7797 2711183.0867,11137150.3924 2711185.9918,11137148.6799 2711188.7882,11137145.5088 2711190.8597,11137139.1981 2711195.5499,11137129.7336 2711213.4263,11137123.533 2711231.2494,11137119.6968 2711267.2773,11137119.2326 2711272.1656,11137121.8959 2711277.0683,11137125.5832 2711281.0524,11137129.7171 2711284.0468,11137140.5748 2711288.6455,11137170.0968 2711300.6147,11137192.4617 2711309.0625,11137199.2807 2711312.1719,11137207.194 2711319.0076,11137214.3337 2711318.1846,11137237.5059 2711316.1733,11137258.5605 2711313.7793,11137271.4615 2711312.4901,11137305.3116 2711309.3258,11137325.7378 2711308.9006,11137342.6511 2711310.0163,11137369.6548 2711315.1221,11137403.2752 2711317.1451,11137419.5761 2711316.4935,11137426.4956 2711315.7634))	669	园地	8557.64	1475.17683044	86496.0663001
40	POLYGON ((11137636.0426 2711321.1219,11137636.0463 2711280.7661,11137619.5572 2711280.0555,11137616.6489 2711280.165,11137611.0705 2711280.3756,11137595.5806 2711279.7668,11137591.9825 2711279.7236,11137591.5627 2711322.3239,11137636.0426 2711321.1219))	670	林地	18723.53	171.551664434	1838.29385332
41	POLYGON ((11136480.7279 2711308.3387,11136480.4998 2711305.0385,11136481.9961 2711293.8539,11136487.1305 2711277.0177,11136487.9011 2711266.5565,11136486.7807 2711258.848,11136480.3105 2711251.9867,11136463.8719 2711244.9336,11136454.8051 2711237.1881,11136448.7671 2711230.6194,11136441.8321 2711230.5871,11136436.0348 2711234.4844,11136431.7887 2711246.6736,11136430.4978 2711251.3208,11136427.3287 2711271.6286,11136424.7075 2711279.0707,11136421.3345 2711282.9921,11136425.5238 2711289.3758,11136432.0027 2711294.3478,11136439.6367 2711299.4704,11136445.2447 2711305.3103,11136450.9596 2711318.604,11136457.6844 2711319.0756,11136467.4573 2711314.6667,11136471.0728 2711309.7867,11136478.3509 2711308.2175,11136480.7279 2711308.3387))	691	林地	4211.65	244.830225488	3821.81588303
42	POLYGON ((11137691.4517 2711276.72,11137691.2254 2711276.7254,11137690.2352 2711276.7486,11137678.2599 2711278.6654,11137663.1904 2711280.4643,11137660.8943 2711280.5179,11137654.0689 2711280.6789,11137641.1129 2711280.9849,11137636.0463 2711280.7661,11137636.0426 2711321.1219,11137636.4636 2711341.8965,11137669.8204 2711345.3617,11137670.4979 2711336.0648,11137681.7921 2711336.7707,11137690.7147 2711335.9012,11137701.0514 2711333.3901,11137705.95 2711330.1102,11137709.9793 2711324.0926,11137709.9811 2711319.7152,11137707.6995 2711314.2403,11137704.5462 2711311.9409,11137694.9736 2711310.1838,11137694.1037 2711308.9797,11137689.8666 2711299.455,11137688.9985 2711295.733,11137690.0937 2711283.8047,11137691.4517 2711276.72))	670	林地	18723.53	262.592240246	3732.2213269
43	POLYGON ((11137129.8727 2711343.2534,11137129.7713 2711330.7863,11137133.6425 2711318.0181,11137133.7155 2711302.0358,11137133.7564 2711293.0865,11137128.2667 2711289.2245,11137109.2016 2711289.1364,11137095.6263 2711292.9103,11137090.4981 2711302.4762,11137101.6667 2711315.5266,11137110.0758 2711329.6298,11137111.2016 2711346.6875,11137114.1299 2711346.3676,11137119.5199 2711345.7801,11137123.2536 2711345.2181,11137129.8727 2711343.2534))	578	园地	197245.4	171.202485476	1660.48375307
44	POLYGON ((11137042.2627 2711352.7147,11137046.2544 2711352.1732,11137048.7775 2711351.7264,11137062.6741 2711349.2631,11137066.7381 2711349.1761,11137071.7339 2711349.0699,11137069.4519 2711341.3934,11137067.6293 2711338.5123,11137065.3292 2711335.9709,11137063.563 2711335.6208,11137059.006 2711335.9417,11137054.7217 2711336.1271,11137049.4889 2711335.5557,11137044.4757 2711331.5654,11137042.1824 2711327.5193,11137042.0007 2711322.6622,11137040.9369 2711317.3906,11137040.2717 2711314.1729,11137037.015 2711312.6531,11137032.1833 2711313.5883,11137029.7839 2711317.8862,11137029.4199 2711323.1512,11137030.2865 2711326.9171,11137032.7872 2711330.2118,11137036.1611 2711335.836,11137040.598 2711352.94,11137042.2627 2711352.7147))	696	旱地	726.92	137.73874101	722.419973504
45	POLYGON ((11136528.6032 2711355.1672,11136530.3963 2711349.6695,11136533.6844 2711344.3498,11136539.8364 2711337.2308,11136540.8407 2711333.2342,11136539.8798 2711327.7921,11136538.8277 2711320.0241,11136539.4591 2711315.7863,11136540.6676 2711311.966,11136541.598 2711309.0249,11136542.541 2711296.1705,11136547.4598 2711276.2897,11136553.0891 2711264.5515,11136556.0618 2711253.8953,11136556.2411 2711244.4572,11136558.1177 2711235.5743,11136554.3765 2711234.3172,11136551.0304 2711232.4025,11136546.2208 2711229.2157,11136541.4711 2711228.4904,11136534.9699 2711228.6012,11136529.4545 2711226.887,11136520.6134 2711219.041,11136510.4355 2711212.8753,11136500.8885 2711206.2914,11136475.0994 2711216.6971,11136448.7671 2711230.6194,11136454.8051 2711237.1881,11136463.8719 2711244.9336,11136480.3105 2711251.9867,11136486.7807 2711258.848,11136487.9011 2711266.5565,11136487.1305 2711277.0177,11136481.9961 2711293.8539,11136480.4998 2711305.0385,11136480.7279 2711308.3387,11136481.5835 2711320.7408,11136485.2457 2711341.2516,11136489.8289 2711349.9937,11136504.1935 2711356.6674,11136519.5694 2711355.7226,11136528.6032 2711355.1672))	691	林地	4211.65	431.915079604	9190.05154187
